what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1313756714776
processors,sysinfo,,,"2",1313756714776
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313756714776
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1313756714776
java.specification.name,sysinfo,,,"Java Platform API Specification",1313756714776
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313756714776
java.specification.version,sysinfo,,,"1.6",1313756714776
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313756714776
java.version,sysinfo,,,"1.6.0_19",1313756714776
java.vm.info,sysinfo,,,"mixed mode, sharing",1313756714776
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313756714776
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313756714776
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313756714776
java.vm.specification.version,sysinfo,,,"1.0",1313756714776
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313756714776
java.vm.version,sysinfo,,,"16.2-b04",1313756714776
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313756767561
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313756769122
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313756769684
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313756769762
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1313756770105
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1313756770105
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1313756770105
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1313756770105
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1313756770105
