what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1312738566793
processors,sysinfo,,,"2",1312738566793
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312738566795
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312738566795
java.specification.name,sysinfo,,,"Java Platform API Specification",1312738566795
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738566795
java.specification.version,sysinfo,,,"1.6",1312738566795
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738566795
java.version,sysinfo,,,"1.6.0_19",1312738566795
java.vm.info,sysinfo,,,"mixed mode, sharing",1312738566795
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312738566795
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312738566795
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738566795
java.vm.specification.version,sysinfo,,,"1.0",1312738566795
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738566795
java.vm.version,sysinfo,,,"16.2-b04",1312738566795
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312738575812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312738576700
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312738577785
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312738577932
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1312738578427
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1312738578427
