what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1312739371451
processors,sysinfo,,,"2",1312739371454
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312739371454
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312739371454
java.specification.name,sysinfo,,,"Java Platform API Specification",1312739371454
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739371454
java.specification.version,sysinfo,,,"1.6",1312739371454
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739371454
java.version,sysinfo,,,"1.6.0_19",1312739371454
java.vm.info,sysinfo,,,"mixed mode, sharing",1312739371454
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312739371454
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312739371454
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739371454
java.vm.specification.version,sysinfo,,,"1.0",1312739371454
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739371454
java.vm.version,sysinfo,,,"16.2-b04",1312739371454
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739384773
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739385961
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739386766
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739386908
