what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1313854591553
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1313854591553
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1313854591556
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1313854591556
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1313854591558
stopped,bundle,com.python.pydev.analysis,2.1.0.2011052613,"com.python.pydev.analysis",1313854591558
stopped,bundle,com.python.pydev.debug,2.1.0.2011052613,"com.python.pydev.debug",1313854591558
stopped,bundle,com.python.pydev.fastparser,2.1.0.2011052613,"com.python.pydev.fastparser",1313854591558
stopped,bundle,com.python.pydev,2.1.0.2011052613,"com.python.pydev",1313854591561
stopped,bundle,org.python.pydev.django,2.1.0.2011052613,"org.python.pydev.django",1313854591561
stopped,bundle,org.python.pydev.customizations,2.1.0.2011052613,"org.python.pydev.customizations",1313854591563
stopped,bundle,org.python.pydev.red_core,2.1.0.2011052613,"org.python.pydev.red_core",1313854591563
stopped,bundle,org.python.pydev.debug,2.1.0.2011052613,"org.python.pydev.debug",1313854591563
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1313854591563
stopped,bundle,org.python.pydev.refactoring,2.1.0.2011052613,"org.python.pydev.refactoring",1313854591566
stopped,bundle,org.python.pydev,2.1.0.2011052613,"org.python.pydev",1313854591568
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1313854591601
stopped,bundle,org.eclipse.rse.importexport,1.2.1.v200909160005,"org.eclipse.rse.importexport",1313854591601
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.0.v200905272300,"org.eclipse.rse.subsystems.shells.telnet",1313854591603
stopped,bundle,org.eclipse.rse.useractions,1.1.100.v200905272300,"org.eclipse.rse.useractions",1313854591603
stopped,bundle,org.eclipse.rse.shells.ui,3.0.100.v200905272300,"org.eclipse.rse.shells.ui",1313854591603
stopped,bundle,org.eclipse.rse.files.ui,3.1.1.v200908061445,"org.eclipse.rse.files.ui",1313854591606
stopped,bundle,org.eclipse.rse.processes.ui,3.0.101.v200907301400,"org.eclipse.rse.processes.ui",1313854591608
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1313854591608
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1313854591611
