what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1312367607902
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312367607902
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312367607902
java.specification.name,sysinfo,,,"Java Platform API Specification",1312367607902
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312367607902
java.specification.version,sysinfo,,,"1.6",1312367607902
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312367607902
java.version,sysinfo,,,"1.6.0_19",1312367607902
java.vm.info,sysinfo,,,"mixed mode, sharing",1312367607902
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312367607902
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312367607902
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312367607902
java.vm.specification.version,sysinfo,,,"1.0",1312367607902
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312367607902
java.vm.version,sysinfo,,,"16.2-b04",1312367607902
started,bundle,CE,1.0.0.qualifier,"CE",1312367609260
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312367609635
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312367633050
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312367634525
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312367635461
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312367635539
