what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1313488870743
processors,sysinfo,,,"2",1313488870743
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313488870743
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1313488870743
java.specification.name,sysinfo,,,"Java Platform API Specification",1313488870743
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313488870743
java.specification.version,sysinfo,,,"1.6",1313488870743
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313488870743
java.version,sysinfo,,,"1.6.0_19",1313488870743
java.vm.info,sysinfo,,,"mixed mode, sharing",1313488870743
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313488870743
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313488870743
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313488870743
java.vm.specification.version,sysinfo,,,"1.0",1313488870743
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313488870743
java.vm.version,sysinfo,,,"16.2-b04",1313488870743
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488886383
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488886400
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488887539
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488888351
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488965321
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488973683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488974463
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313488974557
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1313488975087
