what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1312387797971
processors,sysinfo,,,"2",1312387797971
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312387797971
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312387797971
java.specification.name,sysinfo,,,"Java Platform API Specification",1312387797971
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312387797971
java.specification.version,sysinfo,,,"1.6",1312387797971
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312387797971
java.version,sysinfo,,,"1.6.0_19",1312387797971
java.vm.info,sysinfo,,,"mixed mode, sharing",1312387797971
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312387797971
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312387797971
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312387797971
java.vm.specification.version,sysinfo,,,"1.0",1312387797971
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312387797971
java.vm.version,sysinfo,,,"16.2-b04",1312387797971
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312387846581
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312387847541
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312387848546
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312387848658
